Tampa International Airport,Jacksonville International Airport,291.0019137
Tampa International Airport,Jacksonville International Airport,291.0019137
Tampa International Airport,Palm Beach International Airport,280.5244857
Tampa International Airport,Pensacola Regional Airport,530.3452758
Tampa International Airport,Tallahassee Regional Airport,321.3000562
Tupelo Regional Airport,Hartsfield Jackson Atlanta International Airport,407.3702881
Tupelo Regional Airport,Mid Delta Regional Airport,222.7230067
Tupelo Regional Airport,Mid Delta Regional Airport,222.7230067
McCarran International Airport,Los Angeles International Airport,380.1701148
Los Angeles International Airport,McCarran International Airport,380.1701148
McGrath Airport,Nikolai Airport,63.69189815
Nikolai Airport,McGrath Airport,63.69189815
Tatalina LRRS Airport,McGrath Airport,19.94467405
Anaktuvuk Pass Airport,Fairbanks International Airport,408.4022179
Bettles Airport,Anaktuvuk Pass Airport,136.3376614
Central Airport,Circle City /New/ Airport,43.28790969
Chalkyitsik Airport,Fairbanks International Airport,277.9196713
Chalkyitsik Airport,Fort Yukon Airport,67.42234245
Fairbanks International Airport,Bettles Airport,287.7834322
Fairbanks International Airport,Central Airport,166.909446
Fairbanks International Airport,Chalkyitsik Airport,277.9196713
Fairbanks International Airport,Fort Yukon Airport,229.5075987
Fairbanks International Airport,Manley Hot Springs Airport,133.5331304
Fairbanks International Airport,Beaver Airport,173.7414471
Fort Yukon Airport,Chalkyitsik Airport,67.42234245
Fort Yukon Airport,Fairbanks International Airport,229.5075987
Circle City /New/ Airport,Fairbanks International Airport,209.3588005
Beaver Airport,Fairbanks International Airport,173.7414471
Bethel Airport,Eek Airport,64.085213
Bethel Airport,Kipnuk Airport,153.4636753
Bethel Airport,Quinhagak Airport,114.1695053
Bethel Airport,Kwethluk Airport,21.49391598
Bethel Airport,Marshall Don Hunter Sr Airport,121.2691928
Bethel Airport,Nightmute Airport,160.4492189
Bethel Airport,Napakiak Airport,12.59498148
Chefornak Airport,Bethel Airport,151.8917555
Eek Airport,Bethel Airport,64.085213
Eek Airport,Quinhagak Airport,52.28296959
Kongiganak Airport,Kwigillingok Airport,18.64810812
Kipnuk Airport,Chefornak Airport,27.96712224
Kwigillingok Airport,Bethel Airport,124.6396096
Quinhagak Airport,Bethel Airport,114.1695053
Quinhagak Airport,Eek Airport,52.28296959
Nightmute Airport,Toksook Bay Airport,22.61302461
Napaskiak Airport,Bethel Airport,9.172331131
Platinum Airport,Bethel Airport,197.0210767
Napakiak Airport,Napaskiak Airport,11.06878982
Ambler Airport,Ralph Wien Memorial Airport,208.3030763
Ambler Airport,Shungnak Airport,38.87599413
Kodiak Airport,Ted Stevens Anchorage International Airport,406.8618511
Wainwright Airport,Atqasuk Edward Burnell Sr Memorial Airport,97.00674584
Wainwright Airport,Wiley Post Will Rogers Memorial Airport,137.990407
Ted Stevens Anchorage International Airport,Kodiak Airport,406.8618511
Ted Stevens Anchorage International Airport,Aniak Airport,511.9620252
Ted Stevens Anchorage International Airport,Bethel Airport,641.8228263
Ted Stevens Anchorage International Airport,Merle K (Mudhole) Smith Airport,257.1799268
Ted Stevens Anchorage International Airport,Kenai Municipal Airport,95.35134482
Ted Stevens Anchorage International Airport,Fairbanks International Airport,419.9811854
Ted Stevens Anchorage International Airport,Homer Airport,188.8694053
Ted Stevens Anchorage International Airport,St Mary's Airport,711.5145639
Ted Stevens Anchorage International Airport,Unalakleet Airport,631.9864227
Ted Stevens Anchorage International Airport,Valdez Pioneer Field,201.8342132
Aniak Airport,Ted Stevens Anchorage International Airport,511.9620252
Aniak Airport,Chuathbaluk Airport,17.37144489
Aniak Airport,Holy Cross Airport,68.70507274
Aniak Airport,Kalskag Airport,42.71627251
Aniak Airport,Russian Mission Airport,96.58937302
Aniak Airport,Shageluk Airport,123.7923317
Anvik Airport,Holy Cross Airport,55.42869761
Atqasuk Edward Burnell Sr Memorial Airport,Wainwright Airport,97.00674584
Atqasuk Edward Burnell Sr Memorial Airport,Wiley Post Will Rogers Memorial Airport,94.50933083
Alakanuk Airport,Emmonak Airport,14.64065705
Bethel Airport,Ted Stevens Anchorage International Airport,641.8228263
Bethel Airport,Chefornak Airport,151.8917555
Bethel Airport,Eek Airport,64.085213
Bethel Airport,Hooper Bay Airport,246.3491459
Bethel Airport,Kongiganak Airport,107.8795034
Bethel Airport,Kalskag Airport,116.6213794
Bethel Airport,Kasigluk Airport,38.77945804
Bethel Airport,Kwigillingok Airport,124.6396096
Bethel Airport,Quinhagak Airport,114.1695053
Bethel Airport,Kwethluk Airport,21.49391598
Bethel Airport,Marshall Don Hunter Sr Airport,121.2691928
Bethel Airport,Nightmute Airport,160.4492189
Bethel Airport,Toksook Bay Airport,179.6237254
Bethel Airport,Chevak Airport,219.5506132
Buckland Airport,Deering Airport,73.99747574
Buckland Airport,Ralph Wien Memorial Airport,119.7033213
Wiley Post Will Rogers Memorial Airport,Wainwright Airport,137.990407
Wiley Post Will Rogers Memorial Airport,Atqasuk Edward Burnell Sr Memorial Airport,94.50933083
Wiley Post Will Rogers Memorial Airport,Nuiqsut Airport,243.5085208
Wiley Post Will Rogers Memorial Airport,Point Lay LRRS Airport,289.6423098
Barter Island LRRS Airport,Fort Yukon Airport,403.2181014
Barter Island LRRS Airport,Deadhorse Airport,185.0697301
Merle K (Mudhole) Smith Airport,Ted Stevens Anchorage International Airport,257.1799268
Chefornak Airport,Bethel Airport,151.8917555
Chefornak Airport,Kipnuk Airport,27.96712224
Deering Airport,Buckland Airport,73.99747574
Deering Airport,Ralph Wien Memorial Airport,91.19865062
Eek Airport,Quinhagak Airport,52.28296959
Elim Airport,Koyuk Alfred Adams Airport,64.33760603
Elim Airport,Nome Airport,152.5391087
Emmonak Airport,Alakanuk Airport,14.64065705
Emmonak Airport,Kotlik Airport,55.80262495
Kenai Municipal Airport,Ted Stevens Anchorage International Airport,95.35134482
Fairbanks International Airport,Ted Stevens Anchorage International Airport,419.9811854
Fairbanks International Airport,Fort Yukon Airport,229.5075987
Fairbanks International Airport,Edward G. Pitka Sr Airport,431.7093991
Fairbanks International Airport,Ruby Airport,362.1783932
Fairbanks International Airport,Deadhorse Airport,600.5337119
Fort Yukon Airport,Barter Island LRRS Airport,403.2181014
Fort Yukon Airport,Fairbanks International Airport,229.5075987
Edward G. Pitka Sr Airport,Fairbanks International Airport,431.7093991
Edward G. Pitka Sr Airport,Huslia Airport,110.6748886
Edward G. Pitka Sr Airport,Kaltag Airport,98.29376218
Edward G. Pitka Sr Airport,Nulato Airport,54.17901214
Edward G. Pitka Sr Airport,Ruby Airport,69.90528063
Gambell Airport,Nome Airport,317.0758226
Gambell Airport,Savoonga Airport,61.91879151
Golovin Airport,Nome Airport,117.0958666
Golovin Airport,White Mountain Airport,24.82800935
Holy Cross Airport,Aniak Airport,68.70507274
Holy Cross Airport,Anvik Airport,55.42869761
Homer Airport,Ted Stevens Anchorage International Airport,188.8694053
Hooper Bay Airport,Scammon Bay Airport,47.03880842
Hooper Bay Airport,Chevak Airport,29.13528967
Huslia Airport,Edward G. Pitka Sr Airport,110.6748886
Huslia Airport,Koyukuk Airport,111.8850076
Bob Baker Memorial Airport,Robert (Bob) Curtis Memorial Airport,30.99667461
Bob Baker Memorial Airport,Ralph Wien Memorial Airport,95.11764271
Kaltag Airport,Edward G. Pitka Sr Airport,98.29376218
Kaltag Airport,Nulato Airport,55.82877685
Koyuk Alfred Adams Airport,Elim Airport,64.33760603
Koyuk Alfred Adams Airport,Shaktoolik Airport,63.45733773
Koyuk Alfred Adams Airport,Unalakleet Airport,118.4229054
Kongiganak Airport,Bethel Airport,107.8795034
Kongiganak Airport,Kwigillingok Airport,18.64810812
Kalskag Airport,Aniak Airport,42.71627251
Kalskag Airport,Bethel Airport,116.6213794
Kalskag Airport,Russian Mission Airport,58.46788473
Kotlik Airport,Emmonak Airport,55.80262495
Kotlik Airport,St Mary's Airport,108.773238
Kipnuk Airport,Bethel Airport,153.4636753
Kipnuk Airport,Chefornak Airport,27.96712224
St Mary's Airport,Ted Stevens Anchorage International Airport,711.5145639
St Mary's Airport,Kotlik Airport,108.773238
St Mary's Airport,Mountain Village Airport,20.23795124
Brevig Mission Airport,Teller Airport,11.74064802
Brevig Mission Airport,Wales Airport,82.16447566
Kivalina Airport,Ralph Wien Memorial Airport,127.1549962
Kwigillingok Airport,Bethel Airport,124.6396096
Kwigillingok Airport,Kongiganak Airport,18.64810812
Kwigillingok Airport,Kipnuk Airport,48.64646084
Quinhagak Airport,Bethel Airport,114.1695053
Quinhagak Airport,Togiak Airport,113.5106622
Kwethluk Airport,Bethel Airport,21.49391598
Koyukuk Airport,Edward G. Pitka Sr Airport,40.65000886
Marshall Don Hunter Sr Airport,Russian Mission Airport,38.43506714
Mountain Village Airport,St Mary's Airport,20.23795124
Mekoryuk Airport,Bethel Airport,247.2244225
Nightmute Airport,Toksook Bay Airport,22.61302461
Nuiqsut Airport,Wiley Post Will Rogers Memorial Airport,243.5085208
Nuiqsut Airport,Deadhorse Airport,96.09879816
Nulato Airport,Edward G. Pitka Sr Airport,54.17901214
Nulato Airport,Kaltag Airport,55.82877685
Kobuk Airport,Ambler Airport,47.118478
Kobuk Airport,Ralph Wien Memorial Airport,249.6886666
Nome Airport,Elim Airport,152.5391087
Nome Airport,Gambell Airport,317.0758226
Nome Airport,Golovin Airport,117.0958666
Nome Airport,Brevig Mission Airport,103.3089034
Nome Airport,Shishmaref Airport,196.0168398
Nome Airport,Shaktoolik Airport,203.8447796
Nome Airport,Savoonga Airport,262.6950665
Nome Airport,Teller Airport,91.57663085
Nome Airport,Unalakleet Airport,236.1160624
Nome Airport,Wales Airport,175.6911461
Nome Airport,White Mountain Airport,99.2663339
Toksook Bay Airport,Mekoryuk Airport,67.85098782
Robert (Bob) Curtis Memorial Airport,Bob Baker Memorial Airport,30.99667461
Robert (Bob) Curtis Memorial Airport,Ralph Wien Memorial Airport,69.73725374
Ralph Wien Memorial Airport,Ambler Airport,208.3030763
Ralph Wien Memorial Airport,Buckland Airport,119.7033213
Ralph Wien Memorial Airport,Deering Airport,91.19865062
Ralph Wien Memorial Airport,Bob Baker Memorial Airport,95.11764271
Ralph Wien Memorial Airport,Robert (Bob) Curtis Memorial Airport,69.73725374
Ralph Wien Memorial Airport,Shungnak Airport,238.1919747
Ralph Wien Memorial Airport,Selawik Airport,119.466372
Ralph Wien Memorial Airport,Noatak Airport,77.71107072
Point Lay LRRS Airport,Wiley Post Will Rogers Memorial Airport,289.6423098
Ruby Airport,Fairbanks International Airport,362.1783932
Ruby Airport,Edward G. Pitka Sr Airport,69.90528063
Russian Mission Airport,Aniak Airport,96.58937302
Russian Mission Airport,Bethel Airport,114.751617
Russian Mission Airport,Kalskag Airport,58.46788473
Deadhorse Airport,Barter Island LRRS Airport,185.0697301
Deadhorse Airport,Fairbanks International Airport,600.5337119
Deadhorse Airport,Nuiqsut Airport,96.09879816
Scammon Bay Airport,Bethel Airport,232.5343
Shungnak Airport,Kobuk Airport,11.9162441
Shishmaref Airport,Nome Airport,196.0168398
Shishmaref Airport,Wales Airport,114.9900429
Shageluk Airport,Aniak Airport,123.7923317
Shaktoolik Airport,Koyuk Alfred Adams Airport,63.45733773
Shaktoolik Airport,Nome Airport,203.8447796
Shaktoolik Airport,Unalakleet Airport,57.654796
Sleetmute Airport,Aniak Airport,126.7009159
St Michael Airport,Unalakleet Airport,78.59974685
Savoonga Airport,Gambell Airport,61.91879151
Savoonga Airport,Nome Airport,262.6950665
Teller Airport,Brevig Mission Airport,11.74064802
Teller Airport,Nome Airport,91.57663085
Togiak Airport,Quinhagak Airport,113.5106622
Unalakleet Airport,Ted Stevens Anchorage International Airport,631.9864227
Unalakleet Airport,Shaktoolik Airport,57.654796
Unalakleet Airport,St Michael Airport,78.59974685
Chevak Airport,Hooper Bay Airport,29.13528967
Chevak Airport,Scammon Bay Airport,33.9582797
Valdez Pioneer Field,Ted Stevens Anchorage International Airport,201.8342132
Wales Airport,Brevig Mission Airport,82.16447566
Wales Airport,Nome Airport,175.6911461
Selawik Airport,Ralph Wien Memorial Airport,119.466372
White Mountain Airport,Golovin Airport,24.82800935
White Mountain Airport,Nome Airport,99.2663339
Noatak Airport,Kivalina Airport,70.0274809
Aniak Airport,Holy Cross Airport,68.70507274
Aniak Airport,Kalskag Airport,42.71627251
Holy Cross Airport,Anvik Airport,55.42869761
Kalskag Airport,Russian Mission Airport,58.46788473
Russian Mission Airport,Aniak Airport,96.58937302
Shageluk Airport,Aniak Airport,123.7923317
Kodiak Airport,Akhiok Airport,136.0258186
Akhiok Airport,Kodiak Airport,136.0258186
Ambler Airport,Ralph Wien Memorial Airport,208.3030763
Ambler Airport,Shungnak Airport,38.87599413
Buckland Airport,Deering Airport,73.99747574
Buckland Airport,Ralph Wien Memorial Airport,119.7033213
Deering Airport,Buckland Airport,73.99747574
Deering Airport,Ralph Wien Memorial Airport,91.19865062
Elim Airport,Golovin Airport,35.93399403
Elim Airport,Koyuk Alfred Adams Airport,64.33760603
Elim Airport,Nome Airport,152.5391087
Gambell Airport,Nome Airport,317.0758226
Gambell Airport,Savoonga Airport,61.91879151
Golovin Airport,Elim Airport,35.93399403
Golovin Airport,White Mountain Airport,24.82800935
Bob Baker Memorial Airport,Robert (Bob) Curtis Memorial Airport,30.99667461
Bob Baker Memorial Airport,Ralph Wien Memorial Airport,95.11764271
Koyuk Alfred Adams Airport,Nome Airport,209.9332386
Koyuk Alfred Adams Airport,Shaktoolik Airport,63.45733773
Brevig Mission Airport,Nome Airport,103.3089034
Brevig Mission Airport,Wales Airport,82.16447566
Kivalina Airport,Ralph Wien Memorial Airport,127.1549962
Cape Lisburne LRRS Airport,Ralph Wien Memorial Airport,266.4951833
Kobuk Airport,Ambler Airport,47.118478
Kobuk Airport,Ralph Wien Memorial Airport,249.6886666
Nome Airport,Elim Airport,152.5391087
Nome Airport,Gambell Airport,317.0758226
Nome Airport,Koyuk Alfred Adams Airport,209.9332386
Nome Airport,Ralph Wien Memorial Airport,295.0167094
Nome Airport,Shishmaref Airport,196.0168398
Nome Airport,Savoonga Airport,262.6950665
Nome Airport,Teller Airport,91.57663085
Nome Airport,Tin City Long Range Radar Station Airport,165.3400344
Nome Airport,Unalakleet Airport,236.1160624
Nome Airport,White Mountain Airport,99.2663339
Robert (Bob) Curtis Memorial Airport,Bob Baker Memorial Airport,30.99667461
Robert (Bob) Curtis Memorial Airport,Ralph Wien Memorial Airport,69.73725374
Ralph Wien Memorial Airport,Ambler Airport,208.3030763
Ralph Wien Memorial Airport,Buckland Airport,119.7033213
Ralph Wien Memorial Airport,Deering Airport,91.19865062
Ralph Wien Memorial Airport,Bob Baker Memorial Airport,95.11764271
Ralph Wien Memorial Airport,Kivalina Airport,127.1549962
Ralph Wien Memorial Airport,Nome Airport,295.0167094
Ralph Wien Memorial Airport,Robert (Bob) Curtis Memorial Airport,69.73725374
Ralph Wien Memorial Airport,Shungnak Airport,238.1919747
Ralph Wien Memorial Airport,Selawik Airport,119.466372
Ralph Wien Memorial Airport,Noatak Airport,77.71107072
Shungnak Airport,Kobuk Airport,11.9162441
Shishmaref Airport,Nome Airport,196.0168398
Shaktoolik Airport,Koyuk Alfred Adams Airport,63.45733773
Shaktoolik Airport,Nome Airport,203.8447796
Shaktoolik Airport,Unalakleet Airport,57.654796
St Michael Airport,Unalakleet Airport,78.59974685
Savoonga Airport,Gambell Airport,61.91879151
Savoonga Airport,Nome Airport,262.6950665
Teller Airport,Brevig Mission Airport,11.74064802
Tin City Long Range Radar Station Airport,Wales Airport,10.37705185
Unalakleet Airport,Nome Airport,236.1160624
Unalakleet Airport,Shaktoolik Airport,57.654796
Unalakleet Airport,St Michael Airport,78.59974685
Wales Airport,Nome Airport,175.6911461
Wales Airport,Shishmaref Airport,114.9900429
Selawik Airport,Ralph Wien Memorial Airport,119.466372
White Mountain Airport,Golovin Airport,24.82800935
White Mountain Airport,Nome Airport,99.2663339
Noatak Airport,Kivalina Airport,70.0274809
Noatak Airport,Ralph Wien Memorial Airport,77.71107072
Allakaket Airport,Bettles Airport,62.87684822
Allakaket Airport,Fairbanks International Airport,292.2557333
Allakaket Airport,Hughes Airport,93.08978651
Anaktuvuk Pass Airport,Bettles Airport,136.3376614
Anaktuvuk Pass Airport,Fairbanks International Airport,408.4022179
Arctic Village Airport,Venetie Airport,127.8267702
Bettles Airport,Allakaket Airport,62.87684822
Bettles Airport,Anaktuvuk Pass Airport,136.3376614
Bettles Airport,Fairbanks International Airport,287.7834322
Fairbanks International Airport,Allakaket Airport,292.2557333
Fairbanks International Airport,Anaktuvuk Pass Airport,408.4022179
Fairbanks International Airport,Bettles Airport,287.7834322
Fairbanks International Airport,Fort Yukon Airport,229.5075987
Fairbanks International Airport,Edward G. Pitka Sr Airport,431.7093991
Fairbanks International Airport,Ruby Airport,362.1783932
Fort Yukon Airport,Fairbanks International Airport,229.5075987
Fort Yukon Airport,Venetie Airport,69.19207093
Edward G. Pitka Sr Airport,Kaltag Airport,98.29376218
Edward G. Pitka Sr Airport,Nulato Airport,54.17901214
Huslia Airport,Hughes Airport,102.6803453
Huslia Airport,Ruby Airport,115.8134217
Hughes Airport,Fairbanks International Airport,327.1231167
Kaltag Airport,Huslia Airport,190.5924357
Koyukuk Airport,Fairbanks International Airport,467.9303344
Nulato Airport,Koyukuk Airport,23.23348782
Ruby Airport,Fairbanks International Airport,362.1783932
Venetie Airport,Arctic Village Airport,127.8267702
Venetie Airport,Fort Yukon Airport,69.19207093
Hartsfield Jackson Atlanta International Airport,Kalamazoo Battle Creek International Airport,959.4385518
Hartsfield Jackson Atlanta International Airport,Lovell Field,170.775357
Hartsfield Jackson Atlanta International Airport,The Eastern Iowa Airport,1117.000981
Hartsfield Jackson Atlanta International Airport,Yeager Airport,584.3160959
Hartsfield Jackson Atlanta International Airport,Yeager Airport,584.3160959
Hartsfield Jackson Atlanta International Airport,Cincinnati Northern Kentucky International Airport,600.9418221
Hartsfield Jackson Atlanta International Airport,Evansville Regional Airport,562.9710436
Hartsfield Jackson Atlanta International Airport,Fort Wayne International Airport,817.6426603
Hartsfield Jackson Atlanta International Airport,Piedmont Triad International Airport,493.0116741
Hartsfield Jackson Atlanta International Airport,Greenville Spartanburg International Airport,246.766011
Hartsfield Jackson Atlanta International Airport,Greenville Spartanburg International Airport,246.766011
Hartsfield Jackson Atlanta International Airport,Capital City Airport,1014.866536
Hartsfield Jackson Atlanta International Airport,Blue Grass Airport,488.4486695
Hartsfield Jackson Atlanta International Airport,MBS International Airport,1098.976176
Hartsfield Jackson Atlanta International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1459.002034
Hartsfield Jackson Atlanta International Airport,Roanoke__lacksburg Regional Airport,574.9931129
Hartsfield Jackson Atlanta International Airport,Syracuse Hancock International Airport,1277.132043
Hartsfield Jackson Atlanta International Airport,McGhee Tyson Airport,244.4614718
Hartsfield Jackson Atlanta International Airport,Northwest Arkansas Regional Airport,948.2409701
Kalamazoo Battle Creek International Airport,Hartsfield Jackson Atlanta International Airport,959.4385518
Lovell Field,Hartsfield Jackson Atlanta International Airport,170.775357
Yeager Airport,Hartsfield Jackson Atlanta International Airport,584.3160959
Yeager Airport,Hartsfield Jackson Atlanta International Airport,584.3160959
Cincinnati Northern Kentucky International Airport,Hartsfield Jackson Atlanta International Airport,600.9418221
Detroit Metropolitan Wayne County Airport,Louis Armstrong New Orleans International Airport,1490.26721
Evansville Regional Airport,Hartsfield Jackson Atlanta International Airport,562.9710436
Fort Wayne International Airport,Hartsfield Jackson Atlanta International Airport,817.6426603
Grand Forks International Airport,Thief River Falls Regional Airport,75.07430319
Piedmont Triad International Airport,Hartsfield Jackson Atlanta International Airport,493.0116741
Greenville Spartanburg International Airport,Hartsfield Jackson Atlanta International Airport,246.766011
Greenville Spartanburg International Airport,Hartsfield Jackson Atlanta International Airport,246.766011
John F Kennedy International Airport,Louis Armstrong New Orleans International Airport,1902.460901
Capital City Airport,Hartsfield Jackson Atlanta International Airport,1014.866536
Blue Grass Airport,Hartsfield Jackson Atlanta International Airport,488.4486695
La Guardia Airport,Louis Armstrong New Orleans International Airport,1904.276161
MBS International Airport,Hartsfield Jackson Atlanta International Airport,1098.976176
Harrisburg International Airport,Hartsfield Jackson Atlanta International Airport,997.1693767
Memphis International Airport,Louis Armstrong New Orleans International Airport,560.5375902
Minneapolis-St Paul International/Wold-Chamberlain Airport,Hartsfield Jackson Atlanta International Airport,1459.002034
Minneapolis-St Paul International/Wold-Chamberlain Airport,Louis Armstrong New Orleans International Airport,1672.81397
Louis Armstrong New Orleans International Airport,Detroit Metropolitan Wayne County Airport,1490.26721
Louis Armstrong New Orleans International Airport,John F Kennedy International Airport,1902.460901
Louis Armstrong New Orleans International Airport,La Guardia Airport,1904.276161
Louis Armstrong New Orleans International Airport,Memphis International Airport,560.5375902
Louis Armstrong New Orleans International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1672.81397
Roanoke__lacksburg Regional Airport,Hartsfield Jackson Atlanta International Airport,574.9931129
Syracuse Hancock International Airport,Hartsfield Jackson Atlanta International Airport,1277.132043
Thief River Falls Regional Airport,Grand Forks International Airport,75.07430319
McGhee Tyson Airport,Hartsfield Jackson Atlanta International Airport,244.4614718
Northwest Arkansas Regional Airport,Hartsfield Jackson Atlanta International Airport,948.2409701
Nantucket Memorial Airport,General Edward Lawrence Logan International Airport,146.2822844
Nantucket Memorial Airport,New Bedford Regional Airport,88.42341153
Nantucket Memorial Airport,Barnstable Municipal Boardman Polando Field,49.75052154
Nantucket Memorial Airport,Martha's Vineyard Airport,48.92705667
Albany International Airport,General Edward Lawrence Logan International Airport,233.5786929
Albany International Airport,General Edward Lawrence Logan International Airport,233.5786929
Albany International Airport,General Edward Lawrence Logan International Airport,233.5786929
Albany International Airport,Massena International Richards Field,257.1342962
Albany International Airport,Massena International Richards Field,257.1342962
Albany International Airport,Massena International Richards Field,257.1342962
Albany International Airport,Ogdensburg International Airport,253.2313211
Albany International Airport,Ogdensburg International Airport,253.2313211
Albany International Airport,Ogdensburg International Airport,253.2313211
Augusta State Airport,General Edward Lawrence Logan International Airport,238.385885
Hancock County-Bar Harbor Airport,General Edward Lawrence Logan International Airport,315.4826452
Billings Logan International Airport,Dawson Community Airport,322.7779797
Billings Logan International Airport,Wokal Field Glasgow International Airport,304.8799512
Billings Logan International Airport,Havre City County Airport,317.8135882
Billings Logan International Airport,L M Clayton Airport,340.0621491
Billings Logan International Airport,Sidney - Richland Regional Airport,393.6379142
General Edward Lawrence Logan International Airport,Nantucket Memorial Airport,146.2822844
General Edward Lawrence Logan International Airport,Albany International Airport,233.5786929
General Edward Lawrence Logan International Airport,Albany International Airport,233.5786929
General Edward Lawrence Logan International Airport,Albany International Airport,233.5786929
General Edward Lawrence Logan International Airport,Augusta State Airport,238.385885
General Edward Lawrence Logan International Airport,Hancock County-Bar Harbor Airport,315.4826452
General Edward Lawrence Logan International Airport,Barnstable Municipal Boardman Polando Field,97.79162852
General Edward Lawrence Logan International Airport,Lebanon Municipal Airport,175.694898
General Edward Lawrence Logan International Airport,Martha's Vineyard Airport,112.6460568
General Edward Lawrence Logan International Airport,Provincetown Municipal Airport,72.40912444
General Edward Lawrence Logan International Airport,Knox County Regional Airport,243.8744859
General Edward Lawrence Logan International Airport,Rutland - Southern Vermont Regional Airport,204.7668003
General Edward Lawrence Logan International Airport,Adirondack Regional Airport,343.0452843
Cape Girardeau Regional Airport,St Louis Lambert International Airport,183.0853399
New Bedford Regional Airport,Nantucket Memorial Airport,88.42341153
New Bedford Regional Airport,Westchester County Airport,239.8503247
New Bedford Regional Airport,Martha's Vineyard Airport,42.48916871
Dawson Community Airport,Billings Logan International Airport,322.7779797
Wokal Field Glasgow International Airport,Billings Logan International Airport,304.8799512
